REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive
Delaware,2020-03-01,-0.004728018841583105,0.010038395314947464,0.013823278000313001,0.01658252834425456,0.01918808466060966,0.012266410230740408,0.95
District of Columbia,2020-03-01,-0.11414957178595608,-0.03093339407683591,-0.009308428085264178,0.0035810505113384747,0.01531526022375592,-0.01966150358986642,0.326
Georgia,2020-03-01,-0.022294280822717963,0.014393932835553814,0.02644146301904929,0.0338015944035263,0.041273563620441364,0.021693333902560327,0.89775
Hawaii,2020-03-01,-0.04393876702568257,0.012185042439107847,0.0280059525424021,0.03845110927078228,0.05013802231739315,0.021957327453157108,0.85825
Idaho,2020-03-01,-0.025030210622041853,0.007394707668008512,0.014088962907790317,0.01756488769239771,0.020428211745803882,0.009912803683284085,0.87075
Illinois,2020-03-01,-0.010708156541500001,0.00978999158334028,0.01711595090164622,0.02270146561206421,0.029879557253169833,0.015133486731954493,0.9095
Indiana,2020-03-01,-0.015255467197199425,0.011934324277882317,0.02010902775702683,0.02639429138123775,0.033391521322698105,0.017411888272994832,0.90975
Iowa,2020-03-01,-0.005965313567572039,0.009672861838539281,0.014083052853983606,0.01676900569166591,0.019624836941745143,0.012155367552998491,0.942
Kansas,2020-03-01,-0.043734409477464986,0.011103391749309013,0.027076033962815382,0.03596236949683987,0.04436008407449191,0.020015885721021868,0.84975
Kentucky,2020-03-01,-0.03129173419311146,0.0438015480974512,0.05740645853764333,0.06374271045284287,0.06788107292585469,0.04746333678334941,0.9435
Louisiana,2020-03-01,0.011038850410758748,0.04242400858776101,0.05276674461027424,0.060849178551302834,0.07011868952703698,0.049826082576484555,0.99125
Maine,2020-03-01,0.003285440938113497,0.017462752611722077,0.02179582027432759,0.024735115222118274,0.02796069623348328,0.02013778376192402,0.98275
Maryland,2020-03-01,-0.005628291717346362,0.016815343086181597,0.023912011976030823,0.02863199398804509,0.034201302737220426,0.021391628372541095,0.95425
Massachusetts,2020-03-01,-9.662484307249339e-4,0.010791557744230015,0.014995995253202946,0.0180826152453397,0.022021878918524144,0.013786406832921577,0.96925
Michigan,2020-03-01,-0.022743919357901824,0.00518117565827358,0.011512479801521685,0.015301456608282762,0.01877761316628939,0.008214396456050951,0.85225
Minnesota,2020-03-01,-0.01774266995013984,0.00789544247320258,0.01674376056509236,0.02293486252445314,0.029906598597912802,0.013857350369379982,0.871
Mississippi,2020-03-01,-0.05771851392467751,-0.008550063609379047,0.006516161095497932,0.017400049703578176,0.030538159572581883,0.001415806726413331,0.6295
Missouri,2020-03-01,-0.0027398910043078244,0.0346628618905696,0.045298072475014314,0.05288116230230719,0.061806746865638654,0.04139889553734222,0.97175
Montana,2020-03-01,0.005396908137929132,0.021649150661256424,0.025421506238854336,0.027554608231237374,0.029430965959061448,0.023410878843558525,0.98625
Nebraska,2020-03-01,-0.045872718037030365,0.0067749152761946065,0.019636157407131562,0.02716511037404267,0.034013692051778274,0.01325579140598911,0.82375
Nevada,2020-03-01,-0.016037167003919193,-0.003002773795107664,0.0013320646727568684,0.004587206866655822,0.008331571242559286,3.0554460531268284e-5,0.59125
New Hampshire,2020-03-01,-0.005894535787258332,0.01069898518683099,0.014507521272849336,0.016658255405257363,0.018635950550232677,0.012461257532267105,0.95275
New Jersey,2020-03-01,-0.03618838772753042,0.011978787722953407,0.02657560302482203,0.03499148517151251,0.044395838215369125,0.02053076547187826,0.863
New Mexico,2020-03-01,-0.01566871212890308,0.010495211964357782,0.01956904120121425,0.026267782116280138,0.03409057036657817,0.01695607676320889,0.90325
New York,2020-03-01,-0.002976854500887767,0.012887057912283634,0.018777715772669193,0.023292692137866333,0.029230335801458188,0.01724129932193219,0.95975
North Carolina,2020-03-01,-0.01685669855890532,0.013251037062903186,0.02174987138095774,0.027706502236644726,0.0334468173468799,0.01837814123555179,0.915
North Dakota,2020-03-01,-0.03511354619778934,0.003491391835855673,0.01279656063645444,0.01855843832393142,0.02361833598582965,0.008193479117954365,0.80325
Ohio,2020-03-01,-0.008949643840969248,0.005792863255965238,0.010467425001488357,0.013716075157997719,0.017443091432681343,0.008882318465863208,0.90275
Oklahoma,2020-03-01,-0.047971489388958795,0.004938195405610397,0.02202431661787863,0.03404344519232808,0.04764363952094807,0.016020720756185377,0.79225
Oregon,2020-03-01,0.004162740508076928,0.023723070603775424,0.029146057344750502,0.032786390813515344,0.036600262803492364,0.027026750485014996,0.98275
Pennsylvania,2020-03-01,-0.01054482706253244,0.007161640223104835,0.012800869159505015,0.016966680263378858,0.022919391786012783,0.011133080220477069,0.90175
Rhode Island,2020-03-01,-0.0048357764965144805,0.018790433658108174,0.024985711606458117,0.02872551618112236,0.032227755751150854,0.021985226946560854,0.9635
South Carolina,2020-03-01,-0.016256612856393307,0.03951206599349112,0.052873949042915896,0.05987151744521595,0.06543049975909637,0.04560362368446213,0.95575
South Dakota,2020-03-01,-0.008332795511235488,0.007755729331793355,0.013316380057857867,0.017518518976840525,0.023156568896140903,0.011688385237895445,0.91075
Tennessee,2020-03-01,-0.029534211859706463,0.01448811908321503,0.0255237888966259,0.03201933380249996,0.03833697377446806,0.020020137078901292,0.89025
Texas,2020-03-01,-0.023639689557817773,0.016149199765584578,0.02957561586333993,0.039501525740319045,0.05103392698668725,0.025596517744364115,0.903
Utah,2020-03-01,-0.02368682148038659,0.013837346744326785,0.024741731997168497,0.03132148484772834,0.038041261511999554,0.020011005992275326,0.89525
Vermont,2020-03-01,-0.033782761493404194,-2.6218746211718446e-4,0.00906234373036219,0.015777489762251712,0.022637476900536593,0.00530402498988018,0.7435
Virginia,2020-03-01,0.0065861466264757855,0.029357549516967053,0.03783395023194172,0.043646406955092545,0.05122109745826765,0.03540564864933811,0.987
Washington,2020-03-01,0.02856163678377085,0.04070071417570274,0.04491081510090686,0.04802121536832874,0.05195739140301926,0.043707174946633655,0.99975
West Virginia,2020-03-01,-0.009576529064175915,0.01844458050908741,0.026527231516236406,0.032094044637485136,0.03819198901455094,0.0234491943698157,0.946
Wisconsin,2020-03-01,-0.01901762642688974,0.0055545140013461836,0.012847478037717006,0.017597989398717026,0.02291710252711016,0.009989584282395608,0.85075
